"","lon","lat"
"1",47.5,40.5
"2",-66,8
"3",NA,NA
"4",-121.931623,37.323275
"5",-118.457852,33.979007
"6",NA,NA
"7",-84.56744,36.70647
"8",-70.73707,41.98743
"9",NA,NA
"10",101.25,3.35
"11",-95.309789,29.813142
"12",-115.14666,36.09719
"13",NA,NA
"14",10.90093,63.44582
"15",NA,NA
"16",-43.45966,-22.78993
"17",-73.992602,40.742185
"18",-73.58781,45.50884
"19",-0.1278328,51.5072648
"20",-97.526302,32.909715
"21",-113.64258,60.10867
"22",-75.4999,43.00035
"23",21.09375,7.1881
"24",-54.86155,47.55162
"25",NA,NA
"26",15,62
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",-91.8749,31.1801
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",-78.210376,43.280191
"35",NA,NA
"36",-90.2383,38.65769
"37",10,56
"38",-64,-34
"39",NA,NA
"40",NA,NA
"41",-1.5437941,53.7974185
"42",NA,NA
"43",-117.170912,32.724103
"44",NA,NA
"45",-64,-34
"46",-87.650052,41.850033
"47",2.3488,48.85341
"48",-55,-10
"49",NA,NA
"50",-66,8
"51",NA,NA
"52",-122.87655,43.94155
"53",NA,NA
"54",NA,NA
"55",-99,20.5
"56",-117.170912,32.724103
"57",-64,-34
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",-3.70256,40.4165
"62",NA,NA
"63",-51.61194,-27.34361
"64",NA,NA
"65",-72.569113,43.928552
"66",-0.70312,52.16045
"67",-96.919704,29.845783
"68",9.14062,48.69096
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",-99.25061,31.25044
"73",NA,NA
"74",-64,-34
"75",-122.9775,38.46547
"76",NA,NA
"77",-80.09421,26.93422
"78",NA,NA
"79",-74.005973,40.714269
"80",-57.99639,-22.99333
"81",-90.144908,30.593426
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",2,46
"86",-121.89496,37.33939
"87",NA,NA
"88",-79.51973,8.9936
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",-78.210376,43.280191
"94",NA,NA
"95",-93.976775,32.594798
"96",-73.992602,40.742185
"97",-106.651137,35.084491
"98",NA,NA
"99",-74.52321,40.26955
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",10.5,51.5
"106",2.41833,6.36536
"107",-64,-34
"108",NA,NA
"109",2.3488,48.85341
"110",-118.248405,33.973951
"111",NA,NA
"112",-91.631231,31.191565
"113",NA,NA
"114",-90.443298,37.785545
"115",NA,NA
"116",-3.58333,51.55
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",-66.87919,10.48801
"125",NA,NA
"126",NA,NA
"127",-40.8,-4.44333
"128",-86.07476,35.49062
"129",-118.32674,34.09834
"130",NA,NA
"131",-122.33207,47.60621
"132",NA,NA
"133",-2.071159,51.899569
"134",-4.2499891,55.861147
"135",-117.170912,32.724103
"136",121.53185,25.04776
"137",NA,NA
"138",NA,NA
"139",-74.49987,40.16706
"140",-91.5578,33.981735
"141",NA,NA
